YEAR,MONTH,DAY,GRID_NO,PRECIPITATION,ET0,TEMPERATURE_AVG,WINDSPEED,RADIATION
1975,1,1,97100,0.1,0.27,3.7,3.6,1680
1975,1,2,97100,0,0.24,4.2,1,1951
1975,1,3,97100,0,0.5,3.4,2.5,1704
1975,1,4,97100,0,0.43,2.3,3.6,1717
1975,1,5,97100,1,0.38,3.1,5.7,1732
1975,1,6,97100,1,0.22,3.3,6.4,1747
1975,1,7,97100,2.2,0.48,4,6.4,1764
1975,1,8,97100,0,0.51,2.4,2.9,3447
1975,1,9,97100,0.2,0.21,0.4,2,1800
1975,1,10,97100,0,0.29,4.3,2.5,1819
1975,1,11,97100,0,0.32,3.1,4.3,1840
1975,1,12,97100,1.2,0.82,6.4,4.9,3521
1975,1,13,97100,0.1,0.59,7.6,4.3,4337
1975,1,14,97100,0,1.64,9,5.7,4943
1975,1,15,97100,0,3.48,11.6,9.9,3122
1975,1,16,97100,4.5,2.58,10.7,11,1956
1975,1,17,97100,4.4,1.25,7.4,11,2675
1975,1,18,97100,3.1,0.57,6.5,4.3,2126
1975,1,19,97100,0.2,0.51,4.5,2,2743
1975,1,20,97100,0.6,0.27,0.6,2,2126
1975,1,21,97100,1.1,0.48,2.8,6.4,3235
1975,1,22,97100,4.1,0.74,4.3,9.9,2733
1975,1,23,97100,5.5,0.62,5.4,5.7,2160
1975,1,24,97100,0,0.79,5.9,4.3,5215
1975,1,25,97100,4.1,1.15,6.7,8.2,2226
1975,1,26,97100,2.4,0.51,3.4,2.5,5220
1975,1,27,97100,10.5,0.4,3.9,8.2,2296
1975,1,28,97100,7.6,0.47,2.8,9.9,2333
1975,1,29,97100,4.9,0.55,4.2,5.7,2825
1975,1,30,97100,1.4,0.35,8.6,4.3,2540
1975,1,31,97100,4,0.94,9.2,4.3,3973
1975,2,1,97100,0,0.85,5.1,2.9,6376
1975,2,2,97100,0,0.28,1.2,1.4,2596
1975,2,3,97100,0,1.35,4.1,7.1,5241
1975,2,4,97100,0,1.56,2.4,8.2,5728
1975,2,5,97100,0,0.94,1.2,3.6,7834
1975,2,6,97100,0,1.04,3.5,2.9,8005
1975,2,7,97100,0,0.75,2.1,2,8393
1975,2,8,97100,0,0.97,1,4.9,8789
1975,2,9,97100,0,1.04,2.8,2.5,9265
1975,2,10,97100,0,0.48,3,1,8422
1975,2,11,97100,0.5,0.53,3.6,2.5,4797
1975,2,12,97100,0,0.85,7.6,2.9,4639
1975,2,13,97100,6.9,0.64,4.8,4.9,3029
1975,2,14,97100,0.5,0.45,2.1,3.6,3079
1975,2,15,97100,0,0.81,2.3,2,6790
1975,2,16,97100,0,1.42,0.6,4.9,10263
1975,2,17,97100,0,0.87,0.2,3.6,8004
1975,2,18,97100,6.5,0.73,6.4,2,3527
1975,2,19,97100,5.4,0.8,4.1,4.3,3339
1975,2,20,97100,0,1.04,2.3,2.9,7411
1975,2,21,97100,0,2.04,2.9,5.7,11566
1975,2,22,97100,0,1.43,3.3,2.9,11034
1975,2,23,97100,0,0.91,3.2,1.4,11080
1975,2,24,97100,0,1.19,2.5,2.9,7626
1975,2,25,97100,0,1.99,5.2,5.7,11257
1975,2,26,97100,0,2.59,5.1,5.7,11127
1975,2,27,97100,0,2.3,5.7,3.6,12574
1975,2,28,97100,0,1.13,3.8,1.4,10942
1975,3,1,97100,0,1.24,4.5,2.9,7395
1975,3,2,97100,2.5,1.34,6.9,3.6,8391
1975,3,3,97100,2.6,1.37,7.5,4.9,8035
1975,3,4,97100,0.3,0.99,7.8,2.9,4724
1975,3,5,97100,2.9,1.16,7.3,3.6,5441
1975,3,6,97100,1.4,1.02,7.3,3.6,4950
1975,3,7,97100,8.7,0.93,6.5,7.1,4545
1975,3,8,97100,0.4,1.51,7.5,4.9,8711
1975,3,9,97100,0.6,0.88,6.6,2.5,4576
1975,3,10,97100,1.8,0.8,6,1.4,4542
1975,3,11,97100,0.3,0.75,5.6,1,4507
1975,3,12,97100,0,1.22,6.8,4.9,5260
1975,3,13,97100,0.7,0.83,5.6,2.5,4631
1975,3,14,97100,1.2,0.67,4,1.4,4694
1975,3,15,97100,0.3,0.92,4.9,2.9,4756
1975,3,16,97100,3.1,0.69,2.2,2,4819
1975,3,17,97100,5.7,0.85,0.4,2,9914
1975,3,18,97100,8.2,0.96,-1.3,7.1,6807
1975,3,19,97100,19.4,0.34,-0.8,4.3,5008
1975,3,20,97100,0,1.19,1,2.5,15152
1975,3,21,97100,0,0.93,2.6,1.4,7356
1975,3,22,97100,3,0.79,0.8,2,5411
1975,3,23,97100,0,2.12,4,2.9,16309
1975,3,24,97100,2.6,0.81,0.9,2.5,6513
1975,3,25,97100,0.3,1.35,2.7,4.9,8868
